Country,ID,nl,en,zh,es,hi,ar
eastern_europe, Q27468,Oost-Europa,Eastern Europe,东欧,Europa Oriental,पूर्वी यूरोप,أوروبا الشرقية
southern_europe, Q27449,Zuid-Europa,Southern Europe,南欧,Europa del Sur,दक्षिणी यूरोप,أوروبا الجنوبية
caribbean, Q664609,Caraïben,Caribbean,加勒比地区,Caribe,कैरिबिया,الكاريبي
northern_america, Q49,Noord-Amerika,North America,北美洲,América del Norte,उत्तर अमेरिका,أمريكا الشمالية
central_america, Q27611,Centraal-Amerika,Central America,中美洲,América Central,केंद्रीय अमेरिका,أمريكا الوسطى
south_america, Q18,Zuid-Amerika,South America,南美洲,América del Sur,दक्षिण अमेरिका,أمريكا الجنوبية
polynesia, Q35942,Polynesië,Polynesia,玻里尼西亞,Polinesia,पोलीनेशिया,بولنيزيا
australia_and_new_zealand, Q107323313,Australië en Nieuw-Zeeland,Australia and New Zealand,,,,
melanesia, Q37394,Melanesië,Melanesia,美拉尼西亞,Melanesia,मॅलानिशिया,ميلانيزيا
micronesia, Q3359409,Micronesië,Micronesia,密克羅尼西亞群島,Micronesia,माइक्रोनीशिया,ميكرونيسيا
africa, Q15,Afrika,Africa,非洲,África,अफ्रीका,إفريقيا
americas, Q828,Amerika,Americas,美洲,América,महाअमेरिका,أمريكتان
asia, Q48,Azië,Asia,亞洲,Asia,एशिया,آسيا
europe, Q46,Europa,Europe,欧洲,Europa,यूरोप,أوروبا
oceania, Q55643,Oceanië,Oceania,大洋洲,Oceanía,ओशिआनिया,أوقيانوسيا
